control_ref,control_text,control_text_enriched,subject,verbs,context,semantic_summary,key_concepts,scope,security_domains,enriched_text
1.1,"Cybersecurity Governance : Cybersecurity Strategy : The; Details of the contribute to compliance with the relevant legislative and regulatory requirements. The cybersecurity strategy of the entity shall be identified, documented, and approved, and it shall be supported by the head of the entity or his/her delegate (Hereinafter referred to as the “Authorized Official”). The strategy goals shall be in line with the relevant legislative and regulatory requirements.; entity shall execute an action plan to apply the cybersecurity strategy.; cybersecurity strategy shall be reviewed at planned intervals (or in case of changes to the relevant legislative and regulatory requirements).","Cybersecurity Governance : Cybersecurity Strategy : The; Details of the contribute to compliance with the relevant legislative and regulatory requirements. The cybersecurity strategy of the entity shall be identified, documented, and approved, and it shall be supported by the head of the entity or his/her delegate (Hereinafter referred to as the “Authorized Official”). The strategy goals shall be in line with the relevant legislative and regulatory requirements.; entity shall execute an action plan to apply the cybersecurity strategy.; cybersecurity strategy shall be reviewed at planned intervals (or in case of changes to the relevant legislative and regulatory requirements).",Cybersecurity governance and strategy compliance with legislative and regulatory requirements,"identify, document, approve, support, contribute, execute, apply, review",The control ensures the entity’s cybersecurity strategy aligns with and supports compliance with applicable legislative and regulatory requirements.,"The entity must identify, document, and obtain approval for its cybersecurity strategy, have it supported by the Authorized Official, align its goals with legislative and regulatory requirements, execute an action plan to implement the strategy, and review the strategy at planned intervals or when requirements change.","Cybersecurity Governance, Cybersecurity Strategy, legislative and regulatory requirements, Authorized Official, action plan, review, planned intervals, entity","The scope includes the entity’s cybersecurity strategy, its identification, documentation, approval, support by the Authorized Official, alignment with legislative and regulatory requirements, execution of an action plan, and periodic review.","governance, compliance","Cybersecurity Governance : Cybersecurity Strategy : The; Details of the contribute to compliance with the relevant legislative and regulatory requirements. The cybersecurity strategy of the entity shall be identified, documented, and approved, and it shall be supported by the head of the entity or his/her delegate (Hereinafter referred to as the “Authorized Official”). The strategy goals shall be in line with the relevant legislative and regulatory requirements.; entity shall execute an action plan to apply the cybersecurity strategy.; cybersecurity strategy shall be reviewed at planned intervals (or in case of changes to the relevant legislative and regulatory requirements).

[TOPICS: Cybersecurity governance and strategy compliance with legislative and regulatory requirements]
[ACTIONS: identify, document, approve, support, contribute, execute, apply, review]
[DOMAINS: governance, compliance]
[SUMMARY: The entity must identify, document, and obtain approval for its cybersecurity strategy, have it supported by the Authorized Official, align its goals with legislative and regulatory requirements, execute an action plan to implement the strategy, and review the strategy at planned intervals or when requirements change.]
[PURPOSE: The control ensures the entity’s cybersecurity strategy aligns with and supports compliance with applicable legislative and regulatory requirements.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity Strategy, legislative and regulatory requirements, Authorized Official, action plan, review, planned intervals, entity]
[SCOPE: The scope includes the entity’s cybersecurity strategy, its identification, documentation, approval, support by the Authorized Official, alignment with legislative and regulatory requirements, execution of an action plan, and periodic review.]"
1.1.1,"Cybersecurity Governance : Cybersecurity Strategy : The Details of the contribute to compliance with the relevant legislative and regulatory requirements. The cybersecurity strategy of the entity shall be identified, documented, and approved, and it shall be supported by the head of the entity or his/her delegate (Hereinafter referred to as the “Authorized Official”). The strategy goals shall be in line with the relevant legislative and regulatory requirements.","Cybersecurity Governance : Cybersecurity Strategy : The Details of the contribute to compliance with the relevant legislative and regulatory requirements. The cybersecurity strategy of the entity shall be identified, documented, and approved, and it shall be supported by the head of the entity or his/her delegate (Hereinafter referred to as the “Authorized Official”). The strategy goals shall be in line with the relevant legislative and regulatory requirements.",Cybersecurity governance and strategy compliance with legislative and regulatory requirements,"contribute,identified,documented,approved,supported",Ensures the entity’s cybersecurity strategy aligns with and supports compliance with applicable legislative and regulatory requirements.,"The entity must identify, document, and obtain approval for its cybersecurity strategy, with support from the head of the entity or an authorized delegate. The strategy’s goals must align with relevant legislative and regulatory requirements.","Cybersecurity Governance,Cybersecurity Strategy,compliance,legislative requirements,regulatory requirements,Authorized Official,identified,documented,approved,supported,strategy goals","Covers the entity’s cybersecurity strategy, including its identification, documentation, approval, support by the Authorized Official, and alignment with legislative and regulatory requirements.",governance,"Cybersecurity Governance : Cybersecurity Strategy : The Details of the contribute to compliance with the relevant legislative and regulatory requirements. The cybersecurity strategy of the entity shall be identified, documented, and approved, and it shall be supported by the head of the entity or his/her delegate (Hereinafter referred to as the “Authorized Official”). The strategy goals shall be in line with the relevant legislative and regulatory requirements.

[TOPICS: Cybersecurity governance and strategy compliance with legislative and regulatory requirements]
[ACTIONS: contribute,identified,documented,approved,supported]
[DOMAINS: governance]
[SUMMARY: The entity must identify, document, and obtain approval for its cybersecurity strategy, with support from the head of the entity or an authorized delegate. The strategy’s goals must align with relevant legislative and regulatory requirements.]
[PURPOSE: Ensures the entity’s cybersecurity strategy aligns with and supports compliance with applicable legislative and regulatory requirements.]
[CONCEPTS: Cybersecurity Governance,Cybersecurity Strategy,compliance,legislative requirements,regulatory requirements,Authorized Official,identified,documented,approved,supported,strategy goals]
[SCOPE: Covers the entity’s cybersecurity strategy, including its identification, documentation, approval, support by the Authorized Official, and alignment with legislative and regulatory requirements.]"
1.1.2,Cybersecurity Governance : Cybersecurity Strategy : The entity shall execute an action plan to apply the cybersecurity strategy.,Cybersecurity Governance : Cybersecurity Strategy : The entity shall execute an action plan to apply the cybersecurity strategy.,Execution of action plan to apply cybersecurity strategy,"execute,apply",The control ensures the entity implements its cybersecurity strategy through an action plan.,The entity must develop and carry out an action plan that implements the cybersecurity strategy.,"Cybersecurity Governance,Cybersecurity Strategy,entity,action plan,apply",The entity shall execute an action plan to apply the cybersecurity strategy.,governance,"Cybersecurity Governance : Cybersecurity Strategy : The entity shall execute an action plan to apply the cybersecurity strategy.

[TOPICS: Execution of action plan to apply cybersecurity strategy]
[ACTIONS: execute,apply]
[DOMAINS: governance]
[SUMMARY: The entity must develop and carry out an action plan that implements the cybersecurity strategy.]
[PURPOSE: The control ensures the entity implements its cybersecurity strategy through an action plan.]
[CONCEPTS: Cybersecurity Governance,Cybersecurity Strategy,entity,action plan,apply]
[SCOPE: The entity shall execute an action plan to apply the cybersecurity strategy.]"
1.1.3,Cybersecurity Governance : Cybersecurity Strategy : The cybersecurity strategy shall be reviewed at planned intervals (or in case of changes to the relevant legislative and regulatory requirements).,Cybersecurity Governance : Cybersecurity Strategy : The cybersecurity strategy shall be reviewed at planned intervals (or in case of changes to the relevant legislative and regulatory requirements).,Review of cybersecurity strategy at planned intervals,reviewed,Ensures the cybersecurity strategy remains aligned with current legislative and regulatory requirements.,The organization must review its cybersecurity strategy at scheduled intervals and whenever relevant legislative or regulatory requirements change.,"Cybersecurity Governance, Cybersecurity Strategy, planned intervals, legislative, regulatory requirements",The cybersecurity strategy is in scope for review.,governance,"Cybersecurity Governance : Cybersecurity Strategy : The cybersecurity strategy shall be reviewed at planned intervals (or in case of changes to the relevant legislative and regulatory requirements).

[TOPICS: Review of cybersecurity strategy at planned intervals]
[ACTIONS: reviewed]
[DOMAINS: governance]
[SUMMARY: The organization must review its cybersecurity strategy at scheduled intervals and whenever relevant legislative or regulatory requirements change.]
[PURPOSE: Ensures the cybersecurity strategy remains aligned with current legislative and regulatory requirements.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity Strategy, planned intervals, legislative, regulatory requirements]
[SCOPE: The cybersecurity strategy is in scope for review.]"
1.10,"Cybersecurity Governance : Cybersecurity Awareness and Training Program :; A cybersecurity awareness program, delivered through multiple channels, shall be periodically developed and approved by the entity to strengthen the awareness about cybersecurity, cyber threats, and risks, and to build a positive cybersecurity awareness culture.; The approved cybersecurity awareness program shall be implemented within the entity.; The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including:; Specialized skills and necessary training shall be provided to personnel in positions that are linked directly to cybersecurity within the entity. Such skills and training shall be classified in line with their cybersecurity responsibilities, including:; The implementation of cybersecurity awareness program within the entity shall be periodically reviewed.","Cybersecurity Governance : Cybersecurity Awareness and Training Program :; A cybersecurity awareness program, delivered through multiple channels, shall be periodically developed and approved by the entity to strengthen the awareness about cybersecurity, cyber threats, and risks, and to build a positive cybersecurity awareness culture.; The approved cybersecurity awareness program shall be implemented within the entity.; The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including:; Specialized skills and necessary training shall be provided to personnel in positions that are linked directly to cybersecurity within the entity. Such skills and training shall be classified in line with their cybersecurity responsibilities, including:; The implementation of cybersecurity awareness program within the entity shall be periodically reviewed.",Cybersecurity awareness and training program governance and implementation,"delivered,developed,approved,implemented,include,provide,classify,strengthen,build,protect,review","It ensures the entity periodically creates and approves an awareness program to strengthen cybersecurity awareness, mitigate threats, and foster a positive security culture.","The entity must develop, approve, and implement a cybersecurity awareness program delivered through multiple channels and periodically review it. The program must cover protection against the latest cyber risks, provide specialized training to personnel with cybersecurity responsibilities, and classify training according to those responsibilities.","cybersecurity governance,cybersecurity awareness program,multiple channels,cyber threats,risks,positive cybersecurity awareness culture,specialized skills,necessary training,personnel,cybersecurity responsibilities,implementation,periodic review","The scope includes the entity’s cybersecurity awareness program, its development, approval, implementation, specialized training for cybersecurity‑linked personnel, and periodic review.","governance, human resources security","Cybersecurity Governance : Cybersecurity Awareness and Training Program :; A cybersecurity awareness program, delivered through multiple channels, shall be periodically developed and approved by the entity to strengthen the awareness about cybersecurity, cyber threats, and risks, and to build a positive cybersecurity awareness culture.; The approved cybersecurity awareness program shall be implemented within the entity.; The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including:; Specialized skills and necessary training shall be provided to personnel in positions that are linked directly to cybersecurity within the entity. Such skills and training shall be classified in line with their cybersecurity responsibilities, including:; The implementation of cybersecurity awareness program within the entity shall be periodically reviewed.

[TOPICS: Cybersecurity awareness and training program governance and implementation]
[ACTIONS: delivered,developed,approved,implemented,include,provide,classify,strengthen,build,protect,review]
[DOMAINS: governance, human resources security]
[SUMMARY: The entity must develop, approve, and implement a cybersecurity awareness program delivered through multiple channels and periodically review it. The program must cover protection against the latest cyber risks, provide specialized training to personnel with cybersecurity responsibilities, and classify training according to those responsibilities.]
[PURPOSE: It ensures the entity periodically creates and approves an awareness program to strengthen cybersecurity awareness, mitigate threats, and foster a positive security culture.]
[CONCEPTS: cybersecurity governance,cybersecurity awareness program,multiple channels,cyber threats,risks,positive cybersecurity awareness culture,specialized skills,necessary training,personnel,cybersecurity responsibilities,implementation,periodic review]
[SCOPE: The scope includes the entity’s cybersecurity awareness program, its development, approval, implementation, specialized training for cybersecurity‑linked personnel, and periodic review.]"
1.10.1,"Cybersecurity Governance : Cybersecurity Awareness and Training Program : A cybersecurity awareness program, delivered through multiple channels, shall be periodically developed and approved by the entity to strengthen the awareness about cybersecurity, cyber threats, and risks, and to build a positive cybersecurity awareness culture.","Cybersecurity Governance : Cybersecurity Awareness and Training Program : A cybersecurity awareness program, delivered through multiple channels, shall be periodically developed and approved by the entity to strengthen the awareness about cybersecurity, cyber threats, and risks, and to build a positive cybersecurity awareness culture.","Cybersecurity awareness program development, approval, and delivery","develop,approve,deliver,strengthen,build","The control aims to strengthen awareness of cybersecurity, cyber threats, and risks while building a positive cybersecurity awareness culture.","The entity must establish a cybersecurity awareness program. The program must be delivered through multiple channels and be periodically developed and approved by the entity. Its purpose is to strengthen awareness of cybersecurity, cyber threats, and risks and to build a positive cybersecurity awareness culture.","Cybersecurity Governance,cybersecurity awareness program,multiple channels,periodically,entity,cybersecurity,cyber threats,risks,positive cybersecurity awareness culture","The scope includes the development, approval, and multi‑channel delivery of the cybersecurity awareness program by the entity.","governance,human resources security","Cybersecurity Governance : Cybersecurity Awareness and Training Program : A cybersecurity awareness program, delivered through multiple channels, shall be periodically developed and approved by the entity to strengthen the awareness about cybersecurity, cyber threats, and risks, and to build a positive cybersecurity awareness culture.

[TOPICS: Cybersecurity awareness program development, approval, and delivery]
[ACTIONS: develop,approve,deliver,strengthen,build]
[DOMAINS: governance,human resources security]
[SUMMARY: The entity must establish a cybersecurity awareness program. The program must be delivered through multiple channels and be periodically developed and approved by the entity. Its purpose is to strengthen awareness of cybersecurity, cyber threats, and risks and to build a positive cybersecurity awareness culture.]
[PURPOSE: The control aims to strengthen awareness of cybersecurity, cyber threats, and risks while building a positive cybersecurity awareness culture.]
[CONCEPTS: Cybersecurity Governance,cybersecurity awareness program,multiple channels,periodically,entity,cybersecurity,cyber threats,risks,positive cybersecurity awareness culture]
[SCOPE: The scope includes the development, approval, and multi‑channel delivery of the cybersecurity awareness program by the entity.]"
1.10.2,Cybersecurity Governance : Cybersecurity Awareness and Training Program : The approved cybersecurity awareness program shall be implemented within the entity.,Cybersecurity Governance : Cybersecurity Awareness and Training Program : The approved cybersecurity awareness program shall be implemented within the entity.,Implementation of Cybersecurity Awareness and Training Program,implemented,Ensures the entity implements its approved cybersecurity awareness program.,The entity must implement the cybersecurity awareness program that has been approved.,"Cybersecurity Governance, Cybersecurity Awareness and Training Program, approved, implemented, entity",Implementation of the approved cybersecurity awareness program within the entity.,governance,"Cybersecurity Governance : Cybersecurity Awareness and Training Program : The approved cybersecurity awareness program shall be implemented within the entity.

[TOPICS: Implementation of Cybersecurity Awareness and Training Program]
[ACTIONS: implemented]
[DOMAINS: governance]
[SUMMARY: The entity must implement the cybersecurity awareness program that has been approved.]
[PURPOSE: Ensures the entity implements its approved cybersecurity awareness program.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity Awareness and Training Program, approved, implemented, entity]
[SCOPE: Implementation of the approved cybersecurity awareness program within the entity.]"
1.10.3,"Cybersecurity Governance : Cybersecurity Awareness and Training Program : The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including:","Cybersecurity Governance : Cybersecurity Awareness and Training Program : The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including:",Cybersecurity Awareness and Training Program,"include, protect",It aims to protect the entity from the most important and latest cyber risks and threats.,The organization must ensure its cybersecurity awareness program includes guidance on protecting the entity against the most significant and current cyber risks and threats. The program should detail how to mitigate these risks.,"Cybersecurity Governance, Cybersecurity Awareness and Training Program, cybersecurity awareness program, entity, cyber risks, threats",The scope covers the cybersecurity awareness program's content on protecting the entity from the most important and latest cyber risks and threats.,"governance, human resources security","Cybersecurity Governance : Cybersecurity Awareness and Training Program : The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including:

[TOPICS: Cybersecurity Awareness and Training Program]
[ACTIONS: include, protect]
[DOMAINS: governance, human resources security]
[SUMMARY: The organization must ensure its cybersecurity awareness program includes guidance on protecting the entity against the most significant and current cyber risks and threats. The program should detail how to mitigate these risks.]
[PURPOSE: It aims to protect the entity from the most important and latest cyber risks and threats.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity Awareness and Training Program, cybersecurity awareness program, entity, cyber risks, threats]
[SCOPE: The scope covers the cybersecurity awareness program's content on protecting the entity from the most important and latest cyber risks and threats.]"
1.10.3.1,"Cybersecurity Governance : Cybersecurity Awareness and Training Program : The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including: Secure handling of email services, especially phishing emails.","Cybersecurity Governance : Cybersecurity Awareness and Training Program : The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including: Secure handling of email services, especially phishing emails.",Cybersecurity awareness and training program for protecting against latest cyber risks and phishing emails,"include, protect, handle",The control aims to protect the organization from the most important and latest cyber risks and phishing attacks.,The awareness program must include guidance on protecting the entity against top and recent cyber risks. It must specifically address secure handling of email services and phishing emails.,"Cybersecurity Governance, Cybersecurity Awareness and Training Program, cyber risks, threats, Secure handling, email services, phishing emails, entity","The program covers protection of the entity from important and latest cyber risks, focusing on secure email handling and phishing email mitigation.","governance, human resources security","Cybersecurity Governance : Cybersecurity Awareness and Training Program : The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including: Secure handling of email services, especially phishing emails.

[TOPICS: Cybersecurity awareness and training program for protecting against latest cyber risks and phishing emails]
[ACTIONS: include, protect, handle]
[DOMAINS: governance, human resources security]
[SUMMARY: The awareness program must include guidance on protecting the entity against top and recent cyber risks. It must specifically address secure handling of email services and phishing emails.]
[PURPOSE: The control aims to protect the organization from the most important and latest cyber risks and phishing attacks.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity Awareness and Training Program, cyber risks, threats, Secure handling, email services, phishing emails, entity]
[SCOPE: The program covers protection of the entity from important and latest cyber risks, focusing on secure email handling and phishing email mitigation.]"
1.10.3.2,"Cybersecurity Governance : Cybersecurity Awareness and Training Program : The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including: : Secure handling of mobile devices and storage media.","Cybersecurity Governance : Cybersecurity Awareness and Training Program : The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including: : Secure handling of mobile devices and storage media.",Cybersecurity Awareness and Training Program for protecting against latest cyber risks,"include, protect, secure",It ensures the entity can defend against the most important and latest cyber risks and threats.,The cybersecurity awareness program must teach how to protect the entity against the most important and latest cyber risks and threats. It must include guidance on the secure handling of mobile devices and storage media.,"Cybersecurity Governance, Cybersecurity Awareness and Training Program, protect, entity, cyber risks, cyber threats, Secure handling, mobile devices, storage media",The scope includes the cybersecurity awareness program and its coverage of secure handling of mobile devices and storage media.,"governance, human resources security","Cybersecurity Governance : Cybersecurity Awareness and Training Program : The cybersecurity awareness program shall include how to protect the entity against the most important and latest cyber risks and threats, including: : Secure handling of mobile devices and storage media.

[TOPICS: Cybersecurity Awareness and Training Program for protecting against latest cyber risks]
[ACTIONS: include, protect, secure]
[DOMAINS: governance, human resources security]
[SUMMARY: The cybersecurity awareness program must teach how to protect the entity against the most important and latest cyber risks and threats. It must include guidance on the secure handling of mobile devices and storage media.]
[PURPOSE: It ensures the entity can defend against the most important and latest cyber risks and threats.]
[CONCEPTS: Cybersecurity Governance, Cybersecurity Awareness and Training Program, protect, entity, cyber risks, cyber threats, Secure handling, mobile devices, storage media]
[SCOPE: The scope includes the cybersecurity awareness program and its coverage of secure handling of mobile devices and storage media.]"
