control_ref,control_text,control_text_enriched,subject,verbs,context,semantic_summary,key_concepts,scope,security_domains,enriched_text
DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Potentially adverse events are analyzed to better understand associated activities,Analysis of potentially adverse events and associated activities,"analyzed,understand",Analyzing potentially adverse events helps organizations better understand the activities associated with those events.,The organization must analyze potentially adverse events in order to gain a clearer understanding of the activities linked to those events.,"potentially adverse events,associated activities",Potentially adverse events and their associated activities are in scope.,risk management,"Potentially adverse events are analyzed to better understand associated activities

[TOPICS: Analysis of potentially adverse events and associated activities]
[ACTIONS: analyzed,understand]
[DOMAINS: risk management]
[SUMMARY: The organization must analyze potentially adverse events in order to gain a clearer understanding of the activities linked to those events.]
[PURPOSE: Analyzing potentially adverse events helps organizations better understand the activities associated with those events.]
[CONCEPTS: potentially adverse events,associated activities]
[SCOPE: Potentially adverse events and their associated activities are in scope.]"
DE.AE-03,Information is correlated from multiple sources,Information is correlated from multiple sources,Correlation of information from multiple sources,correlated,The control emphasizes the need to combine information from various sources.,The organization must correlate information obtained from multiple sources.,"Information, multiple sources, correlated",,,"Information is correlated from multiple sources

[TOPICS: Correlation of information from multiple sources]
[ACTIONS: correlated]
[SUMMARY: The organization must correlate information obtained from multiple sources.]
[PURPOSE: The control emphasizes the need to combine information from various sources.]
[CONCEPTS: Information, multiple sources, correlated]"
DE.AE-04,The estimated impact and scope of adverse events are understood,The estimated impact and scope of adverse events are understood,Understanding estimated impact and scope of adverse events,understood,Understanding the estimated impact and scope of adverse events provides insight into potential consequences and informs response planning.,The organization must determine and maintain an understanding of the likely impact and breadth of any adverse events.,"estimated impact, scope, adverse events",The control covers the estimated impact and scope of adverse events.,risk management,"The estimated impact and scope of adverse events are understood

[TOPICS: Understanding estimated impact and scope of adverse events]
[ACTIONS: understood]
[DOMAINS: risk management]
[SUMMARY: The organization must determine and maintain an understanding of the likely impact and breadth of any adverse events.]
[PURPOSE: Understanding the estimated impact and scope of adverse events provides insight into potential consequences and informs response planning.]
[CONCEPTS: estimated impact, scope, adverse events]
[SCOPE: The control covers the estimated impact and scope of adverse events.]"
DE.AE-06,Information on adverse events is provided to authorized staff and tools,Information on adverse events is provided to authorized staff and tools,Provision of adverse event information to authorized staff and tools,provided,Ensures that relevant personnel and systems receive adverse event information.,The organization must supply information on adverse events to staff and tools that have authorization to receive it.,"Information, adverse events, authorized staff, tools",The control covers providing adverse event information to authorized staff and tools.,"access control, operations security","Information on adverse events is provided to authorized staff and tools

[TOPICS: Provision of adverse event information to authorized staff and tools]
[ACTIONS: provided]
[DOMAINS: access control, operations security]
[SUMMARY: The organization must supply information on adverse events to staff and tools that have authorization to receive it.]
[PURPOSE: Ensures that relevant personnel and systems receive adverse event information.]
[CONCEPTS: Information, adverse events, authorized staff, tools]
[SCOPE: The control covers providing adverse event information to authorized staff and tools.]"
DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,Cyber threat intelligence and other contextual information are integrated into the analysis,Integration of cyber threat intelligence and contextual information into analysis,integrated,Integrating cyber threat intelligence and contextual information enhances the analysis process.,The control requires that cyber threat intelligence and other contextual information be incorporated into the analysis.,"Cyber threat intelligence, contextual information, analysis","Cyber threat intelligence, other contextual information, and the analysis process are covered.",risk management,"Cyber threat intelligence and other contextual information are integrated into the analysis

[TOPICS: Integration of cyber threat intelligence and contextual information into analysis]
[ACTIONS: integrated]
[DOMAINS: risk management]
[SUMMARY: The control requires that cyber threat intelligence and other contextual information be incorporated into the analysis.]
[PURPOSE: Integrating cyber threat intelligence and contextual information enhances the analysis process.]
[CONCEPTS: Cyber threat intelligence, contextual information, analysis]
[SCOPE: Cyber threat intelligence, other contextual information, and the analysis process are covered.]"
DE.AE-08,"Incidents are declared when adverse events meet the defined incident criteria 21 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024","Incidents are declared when adverse events meet the defined incident criteria 21 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024",Declaration of incidents when adverse events meet defined criteria,"declared, meet",Ensures that incidents are formally recognized only when adverse events satisfy predefined criteria.,The control requires that an incident be declared only if an adverse event satisfies the established incident criteria.,"Incidents, adverse events, incident criteria",Covers the declaration of incidents based on adverse events meeting defined incident criteria.,incident management,"Incidents are declared when adverse events meet the defined incident criteria 21 NIST CSWP 29 The NIST Cybersecurity Framework (CSF) 2.0 February 26, 2024

[TOPICS: Declaration of incidents when adverse events meet defined criteria]
[ACTIONS: declared, meet]
[DOMAINS: incident management]
[SUMMARY: The control requires that an incident be declared only if an adverse event satisfies the established incident criteria.]
[PURPOSE: Ensures that incidents are formally recognized only when adverse events satisfy predefined criteria.]
[CONCEPTS: Incidents, adverse events, incident criteria]
[SCOPE: Covers the declaration of incidents based on adverse events meeting defined incident criteria.]"
DE.CM-01,Networks and network services are monitored to find potentially adverse events,Networks and network services are monitored to find potentially adverse events,Monitoring of networks and network services,"monitored, find",Monitoring helps detect potentially adverse events in networks and network services.,The organization must monitor its networks and network services in order to identify potentially adverse events.,"Networks, network services, potentially adverse events",Networks and network services are in scope.,operations security,"Networks and network services are monitored to find potentially adverse events

[TOPICS: Monitoring of networks and network services]
[ACTIONS: monitored, find]
[DOMAINS: operations security]
[SUMMARY: The organization must monitor its networks and network services in order to identify potentially adverse events.]
[PURPOSE: Monitoring helps detect potentially adverse events in networks and network services.]
[CONCEPTS: Networks, network services, potentially adverse events]
[SCOPE: Networks and network services are in scope.]"
DE.CM-02,The physical environment is monitored to find potentially adverse events,The physical environment is monitored to find potentially adverse events,Monitoring of physical environment for adverse events,"monitored, find",Monitoring the physical environment helps detect potentially adverse events.,The organization must monitor the physical environment to identify any potentially adverse events.,"physical environment, potentially adverse events",The physical environment is in scope for monitoring.,physical security,"The physical environment is monitored to find potentially adverse events

[TOPICS: Monitoring of physical environment for adverse events]
[ACTIONS: monitored, find]
[DOMAINS: physical security]
[SUMMARY: The organization must monitor the physical environment to identify any potentially adverse events.]
[PURPOSE: Monitoring the physical environment helps detect potentially adverse events.]
[CONCEPTS: physical environment, potentially adverse events]
[SCOPE: The physical environment is in scope for monitoring.]"
DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,Personnel activity and technology usage are monitored to find potentially adverse events,Monitoring of personnel activity and technology usage,"monitored, find",Monitoring personnel activity and technology usage helps identify potentially adverse events.,The organization must monitor both personnel actions and the use of technology to detect events that could be harmful.,"Personnel activity, technology usage, adverse events",The control applies to monitoring of personnel activity and technology usage.,operations security,"Personnel activity and technology usage are monitored to find potentially adverse events

[TOPICS: Monitoring of personnel activity and technology usage]
[ACTIONS: monitored, find]
[DOMAINS: operations security]
[SUMMARY: The organization must monitor both personnel actions and the use of technology to detect events that could be harmful.]
[PURPOSE: Monitoring personnel activity and technology usage helps identify potentially adverse events.]
[CONCEPTS: Personnel activity, technology usage, adverse events]
[SCOPE: The control applies to monitoring of personnel activity and technology usage.]"
DE.CM-06,External service provider activities and services are monitored to find potentially adverse events,External service provider activities and services are monitored to find potentially adverse events,Monitoring external service provider activities and services,"monitor, find",Monitoring external service provider activities helps detect potentially adverse events.,The organization must monitor the activities and services of external service providers in order to identify any potentially adverse events.,"external service provider, activities, services, monitored, potentially adverse events",External service provider activities and services are covered.,"risk management, operations security, supplier management","External service provider activities and services are monitored to find potentially adverse events

[TOPICS: Monitoring external service provider activities and services]
[ACTIONS: monitor, find]
[DOMAINS: risk management, operations security, supplier management]
[SUMMARY: The organization must monitor the activities and services of external service providers in order to identify any potentially adverse events.]
[PURPOSE: Monitoring external service provider activities helps detect potentially adverse events.]
[CONCEPTS: external service provider, activities, services, monitored, potentially adverse events]
[SCOPE: External service provider activities and services are covered.]"
DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents","Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents","Monitoring of computing hardware, software, runtime environments, and data","monitor, find, analyze, characterize, detect",Monitoring and analyzing computing resources helps identify potentially adverse events and detect cybersecurity incidents.,"The organization must monitor computing hardware, software, runtime environments, and their data to discover potentially adverse events, then analyze those events to characterize them and detect cybersecurity incidents.","computing hardware, software, runtime environments, data, potentially adverse events, cybersecurity incidents","The scope includes computing hardware, software, runtime environments, and their data.","operations security, incident management","Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents

[TOPICS: Monitoring of computing hardware, software, runtime environments, and data]
[ACTIONS: monitor, find, analyze, characterize, detect]
[DOMAINS: operations security, incident management]
[SUMMARY: The organization must monitor computing hardware, software, runtime environments, and their data to discover potentially adverse events, then analyze those events to characterize them and detect cybersecurity incidents.]
[PURPOSE: Monitoring and analyzing computing resources helps identify potentially adverse events and detect cybersecurity incidents.]
[CONCEPTS: computing hardware, software, runtime environments, data, potentially adverse events, cybersecurity incidents]
[SCOPE: The scope includes computing hardware, software, runtime environments, and their data.]"
GV.OC-01,The organizational mission is understood and informs cybersecurity risk management,The organizational mission is understood and informs cybersecurity risk management,Organizational mission and its role in cybersecurity risk management,"understood, informs",Understanding the organizational mission guides how cybersecurity risk is managed.,The organization must ensure that its mission is clearly understood and that this understanding is used to shape cybersecurity risk management decisions.,"organizational mission, cybersecurity risk management",The control applies to the organizational mission and cybersecurity risk management.,risk management,"The organizational mission is understood and informs cybersecurity risk management

[TOPICS: Organizational mission and its role in cybersecurity risk management]
[ACTIONS: understood, informs]
[DOMAINS: risk management]
[SUMMARY: The organization must ensure that its mission is clearly understood and that this understanding is used to shape cybersecurity risk management decisions.]
[PURPOSE: Understanding the organizational mission guides how cybersecurity risk is managed.]
[CONCEPTS: organizational mission, cybersecurity risk management]
[SCOPE: The control applies to the organizational mission and cybersecurity risk management.]"
